product_name,category,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo)
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",34,52
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",393,322
Atliq_Curtains,"Home Care",300,BOGOF,22,85
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",329,1000
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",108,93
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",91,116
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",31,26
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,73,245
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,30,79
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,318,1265
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",78,70
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",126,302
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",154,207
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",343,270
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",348,480
Atliq_Curtains,"Home Care",300,BOGOF,43,167
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",39,33
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",164,236
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",22,16
Atliq_Curtains,"Home Care",300,BOGOF,55,213
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,42,168
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,84,338
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",66,88
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",204,291
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,19,74
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",227,202
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",85,228
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,59,182
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,50,190
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",70,89
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",333,402
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",52,39
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",34,24
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,33,136
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,27,109
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",309,534
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,348,1350
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",287,220
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,340,1485
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,24,82
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,121,474
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",109,238
Atliq_Curtains,"Home Care",300,BOGOF,33,128
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,81,208
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",183,150
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,36,111
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",122,135
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",16,14
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",273,379
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",78,75
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",295,436
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,114,287
Atliq_Curtains,"Home Care",300,BOGOF,58,232
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",42,31
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,253,1017
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",325,396
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",40,36
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",38,50
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",106,92
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",66,57
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",358,347
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",117,114
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",367,297
